epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.3483,3.45872,7.72804,4.40475,0.0025,0.75,0.00744,0.00261,3.24843,4.5403,4.15629,0.00026,0.00026,0.00026
2,85.5048,3.64187,7.1288,4.45665,0.0025,0.75,0.00376,0.00111,3.25038,4.51323,4.15368,0.00048654,0.00048654,0.00048654
3,128.782,3.67875,6.94213,4.24228,0.0025,0.75,0.00342,0.00125,3.24985,4.44444,4.15526,0.00065764,0.00065764,0.00065764
4,177.024,3.29993,7.67278,3.89255,0.00083,0.25,0.00125,0.00082,3.28769,4.20195,4.15828,0.0007733,0.0007733,0.0007733
5,219.353,3.54111,6.81607,4.14206,0.00083,0.25,0.00144,0.00087,3.28975,4.0494,4.17568,0.00083352,0.00083352,0.00083352
6,262.365,3.34919,6.033,4.08058,0.0025,0.75,0.00367,0.00101,3.26637,3.77046,4.19392,0.0008383,0.0008383,0.0008383
7,305.373,3.31567,6.65751,3.96638,0.0025,0.75,0.00352,0.00099,3.25628,3.70944,4.18728,0.00078764,0.00078764,0.00078764
8,348.178,3.17298,5.60112,3.9935,0.0025,0.75,0.00348,0.00124,3.25291,3.68696,4.19346,0.000614,0.000614,0.000614
9,392.081,3.07099,5.52863,3.95659,0.0025,0.75,0.00353,0.00103,3.23537,3.69352,4.14403,0.000416,0.000416,0.000416
10,433.915,2.9682,5.64733,3.969,0.0025,0.75,0.00388,0.00119,3.21325,3.70431,4.11204,0.000218,0.000218,0.000218
